m,r,l,P,T,rho,epsilon,nabla,convective_status
1.5180897620873429e+33,21700481221.06571,1.0670268142789374e+34,1.914748255662269e+16,8409856.181868948,16.840279507018252,0.3287931152341793,[0.22885331],0
1.518761186130725e+33,21707217519.711433,1.06704898516602e+34,1.9123189265280384e+16,8407427.478771016,16.82377078177706,0.3280049984084523,[0.22880634],0
1.5194326101741074e+33,21713956215.95943,1.0670711033632277e+34,1.9098915982747344e+16,8404998.933929786,16.807269807024202,0.3272184516166499,[0.22875938],0
1.5201040342174897e+33,21720697313.890186,1.0670931689615692e+34,1.90746626901573e+16,8402570.544385223,16.79077657973319,0.3264334717417387,[0.22871242],0
1.520775458260872e+33,21727440817.59458,1.0671151820519747e+34,1.905042936868984e+16,8400142.307185322,16.774291096874176,0.32565005567591043,[0.22866548],0
1.5214468823042542e+33,21734186731.173897,1.067137142725295e+34,1.902621599957043e+16,8397714.219386091,16.75781335541415,0.32486820032055225,[0.22861854],0
1.5221183063476365e+33,21740935058.739807,1.0671590510723039e+34,1.900202256407041e+16,8395286.27805157,16.74134335231694,0.32408790258620973,[0.22857161],0
1.5227897303910188e+33,21747685804.414383,1.067180907183695e+34,1.897784904350697e+16,8392858.48025381,16.724881084543387,0.3233091593925506,[0.22852468],0
1.523461154434401e+33,21754438972.330086,1.0672027111500844e+34,1.8953695419243176e+16,8390430.82307289,16.70842654905144,0.3225319676683424,[0.22847777],0
1.5241325784777833e+33,21761194566.629776,1.067224463062009e+34,1.8929561672687972e+16,8388003.303596908,16.691979742796196,0.32175632435140755,[0.22843086],0
1.5248040025211656e+33,21767952591.46671,1.067246163009928e+34,1.890544778529616e+16,8385575.918921983,16.6755406627301,0.32098222638859697,[0.22838397],0
1.525475426564548e+33,21774713051.004536,1.0672678110842207e+34,1.8881353738568416e+16,8383148.666152257,16.659109305802964,0.3202096707357599,[0.22833708],0
1.52614685060793e+33,21781475949.417297,1.067289407375189e+34,1.885727951405129e+16,8380721.542399892,16.642685668962116,0.319438654357703,[0.22829021],0
1.5268182746513124e+33,21788241290.88944,1.0673109519730558e+34,1.8833225093337176e+16,8378294.544785073,16.626269749152474,0.3186691742281641,[0.22824334],0
1.527489698694695e+33,21795009079.615795,1.0673324449679655e+34,1.880919045806436e+16,8375867.670436003,16.609861543316672,0.31790122732977977,[0.22819648],0
1.528161122738077e+33,21801779319.80159,1.0673538864499832e+34,1.8785175589917016e+16,8373440.916488914,16.593461048395167,0.3171348106540494,[0.22814964],0
1.5288325467814595e+33,21808552015.66246,1.067375276509097e+34,1.876118047062511e+16,8371014.280088048,16.577068261326282,0.31636992120130497,[0.2281028],0
1.5295039708248415e+33,21815327171.424416,1.067396615235215e+34,1.8737205081964588e+16,8368587.758385682,16.560683179046414,0.3156065559806818,[0.22805598],0
1.530175394868224e+33,21822104791.323883,1.0674179027181675e+34,1.871324940575715e+16,8366161.3485421,16.54430579849002,0.314844712010079,[0.22800917],0
1.530846818911606e+33,21828884879.607662,1.0674391390477055e+34,1.8689313423870464e+16,8363735.047725621,16.52793611658982,0.31408438631613766,[0.22796237],0
1.5315182429549886e+33,21835667440.532974,1.0674603243135025e+34,1.8665397118217976e+16,8361308.853112573,16.51157413027682,0.31332557593419996,[0.22791558],0
1.5321896669983706e+33,21842452478.367405,1.0674814586051526e+34,1.8641500470759096e+16,8358882.7618873175,16.495219836480494,0.3125682779082818,[0.22786881],0
1.5328610910417532e+33,21849239997.38896,1.0675025420121714e+34,1.8617623463498996e+16,8356456.771242227,16.478873232128773,0.31181248929104083,[0.22782204],0
1.5335325150851351e+33,21856030001.886032,1.0675235746239963e+34,1.859376607848883e+16,8354030.878377704,16.462534314148318,0.3110582071437465,[0.22777529],0
1.5342039391285177e+33,21862822496.15741,1.067544556529986e+34,1.856992829782551e+16,8351605.080502165,16.446203079464418,0.3103054285362427,[0.22772856],0
1.5348753631718997e+33,21869617484.51226,1.0675654878194205e+34,1.854611010365193e+16,8349179.374832053,16.429879525001287,0.3095541505469233,[0.22768183],0
1.5355467872152823e+33,21876414971.270184,1.0675863685815011e+34,1.852231147815673e+16,8346753.758591829,16.413563647681997,0.30880437026269847,[0.22763512],0
1.5362182112586642e+33,21883214960.76113,1.067607198905351e+34,1.8498532403574532e+16,8344328.229013979,16.39725544442875,0.30805608477896196,[0.22758843],0
1.5368896353020468e+33,21890017457.325493,1.067627978880014e+34,1.8474772862185736e+16,8341902.783339008,16.38095491216281,0.3073092911995623,[0.22754174],0
1.537561059345429e+33,21896822465.31401,1.0676487085944567e+34,1.8451032836316676e+16,8339477.418815443,16.36466204780474,0.30656398663676715,[0.22749507],0
1.5382324833888113e+33,21903629989.087852,1.067669388137566e+34,1.842731230833952e+16,8337052.132699833,16.34837684827444,0.30582016821124364,[0.22744842],0
